Name,alpha_code,fip,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
Alabama,AL,1,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Alaska,AK,2,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Arizona,AZ,4,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Arkansas,AR,5,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
California,CA,6,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-01,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Colorado,CO,8,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Connecticut,CT,9,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Delaware,DE,10,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
District of Columbia,DC,11,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Florida,FL,12,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Georgia,GA,13,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Hawaii,HI,15,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Idaho,ID,16,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Illinois,IL,17,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Indiana,IN,18,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Iowa,IA,19,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Kansas,KS,20,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Kentucky,KY,21,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Louisiana,LA,22,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Maine,ME,23,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Maryland,MD,24,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Massachusetts,MA,25,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Michigan,MI,26,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Minnesota,MN,27,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Mississippi,MS,28,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Missouri,MO,29,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Montana,MT,30,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Nebraska,NE,31,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Nevada,NV,32,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
New Hampshire,NH,33,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
New Jersey,NJ,34,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
New Mexico,NM,35,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
New York,NY,36,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
North Carolina,NC,37,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
North Dakota,ND,38,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Ohio,OH,39,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Oklahoma,OK,40,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Oregon,OR,41,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Pennsylvania,PA,42,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Puerto Rico,PR,72,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Rhode Island,RI,44,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
South Carolina,SC,45,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
South Dakota,SD,46,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Tennessee,TN,47,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Texas,TX,48,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Utah,UT,49,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Vermont,VT,50,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Virginia,VA,51,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Washington,WA,53,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
West Virginia,WV,54,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Wisconsin,WI,55,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Wyoming,WY,56,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
